months,EEM,AGG,HYG,GSCI,SP
1,1.824852,-0.1706618,0.1873384,2.512053,1.432331
2,3.396313,-0.2719085,0.3372987,4.093194,2.367944
6,5.626138,-0.3888898,0.9309096,5.289911,4.010263
12,7.291719,-0.4520954,1.82859,4.447627,5.660095
24,13.07927,-0.7654349,3.645399,4.94471,10.33181
